img_path,table_mask,col_mask,original_height,original_width,hasTable,table_count,col_count,table_bboxes,col_bboxes
./ICDAR/ICDAR2019_cTDaR/training/TRACKB1/ground_truth\cTDaR_t00000.jpg,./ICDAR/ICDAR_Processed\table_mask\cTDaR_t00000.jpg,./ICDAR/ICDAR_Processed\col_mask\cTDaR_t00000.jpg,3584,4912,1,1,1,"[[(1722, 698), (3961, 698), (3961, 3247), (1722, 3247)]]","[[[(1742, 698), (1695, 3239), (1740, 3239), (1784, 698)], [(1824, 698), (1780, 3239), (2159, 3239), (2221, 769)], [(2258, 1012), (2199, 3239), (2238, 3239), (2299, 1013)], [(2343, 770), (2278, 3239), (2322, 3239), (2395, 772)], [(2435, 772), (2362, 3239), (2411, 3239), (2475, 774)], [(2515, 774), (2451, 3239), (2476, 3239), (2552, 775)], [(2592, 775), (2516, 3239), (2536, 3239), (2616, 776)], [(2656, 776), (2576, 3239), (2604, 3239), (2674, 777)], [(2714, 777), (2644, 3239), (2671, 3239), (2732, 844)], [(2773, 778), (2711, 3239), (2729, 3239), (2806, 779)], [(2846, 779), (2769, 3239), (2801, 3239), (2867, 847)], [(2909, 780), (2841, 3239), (2858, 3239), (2923, 781)], [(2963, 781), (2898, 3239), (2916, 3239), (2994, 850)], [(3036, 783), (2956, 3239), (2980, 3239), (3049, 784)], [(3089, 784), (3020, 3239), (3045, 3239), (3112, 785)], [(3152, 785), (3085, 3239), (3108, 3239), (3171, 786)], [(3211, 786), (3148, 3239), (3170, 3241), (3237, 787)], [(3277, 787), (3210, 3241), (3227, 3239), (3301, 788)], [(3341, 788), (3267, 3239), (3288, 3239), (3365, 789)], [(3405, 789), (3328, 3239), (3345, 3239), (3431, 791)], [(3471, 791), (3385, 3239), (3412, 3240), (3490, 792)], [(3530, 792), (3452, 3240), (3471, 3241), (3545, 793)], [(3585, 793), (3511, 3241), (3529, 3242), (3611, 795)], [(3651, 795), (3569, 3242), (3587, 3243), (3670, 796)], [(3710, 796), (3627, 3243), (3659, 3244), (3737, 798)], [(3777, 798), (3699, 3244), (3729, 3245), (3796, 874)], [(3836, 743), (3769, 3245), (3822, 3246), (3891, 748)], [(3931, 748), (3862, 3246), (3899, 3247), (3959, 804)]]]"
./ICDAR/ICDAR2019_cTDaR/training/TRACKB1/ground_truth\cTDaR_t00001.jpg,./ICDAR/ICDAR_Processed\table_mask\cTDaR_t00001.jpg,./ICDAR/ICDAR_Processed\col_mask\cTDaR_t00001.jpg,3584,4912,1,2,2,"[[(130, 538), (2398, 615), (2327, 3112), (128, 3112)], [(2581, 631), (4838, 695), (4736, 3167), (2599, 3167)]]","[[[(129, 542), (69, 3073), (106, 3073), (153, 543)], [(193, 543), (146, 3073), (541, 3077), (615, 604)], [(648, 857), (581, 3077), (615, 3078), (693, 859)], [(740, 555), (655, 3078), (709, 3079), (802, 558)], [(842, 558), (749, 3079), (784, 3080), (876, 560)], [(916, 560), (824, 3080), (855, 3081), (954, 562)], [(994, 562), (895, 3081), (918, 3082), (1009, 564)], [(1049, 564), (958, 3082), (980, 3083), (1070, 566)], [(1110, 566), (1020, 3083), (1048, 3084), (1135, 621)], [(1177, 568), (1088, 3084), (1110, 3085), (1205, 570)], [(1245, 570), (1150, 3085), (1175, 3086), (1262, 572)], [(1302, 572), (1215, 3086), (1232, 3087), (1323, 574)], [(1363, 574), (1272, 3087), (1297, 3088), (1385, 576)], [(1425, 576), (1337, 3088), (1350, 3089), (1447, 578)], [(1487, 578), (1390, 3089), (1429, 3091), (1501, 580)], [(1541, 580), (1469, 3091), (1479, 3092), (1572, 582)], [(1612, 582), (1519, 3092), (1552, 3094), (1635, 584)], [(1675, 584), (1592, 3094), (1613, 3095), (1704, 586)], [(1744, 586), (1653, 3095), (1681, 3095), (1766, 588)], [(1806, 588), (1721, 3095), (1731, 3097), (1833, 590)], [(1873, 590), (1771, 3097), (1796, 3098), (1895, 592)], [(1935, 592), (1836, 3098), (1855, 3099), (1958, 594)], [(1998, 594), (1895, 3099), (1916, 3100), (2016, 596)], [(2056, 596), (1956, 3100), (1979, 3101), (2081, 598)], [(2121, 598), (2019, 3101), (2051, 3103), (2143, 600)], [(2183, 600), (2091, 3103), (2118, 3104), (2208, 661)], [(2250, 602), (2158, 3104), (2225, 3106), (2299, 605)], [(2339, 605), (2265, 3106), (2308, 3108), (2378, 667)]], [[(2601, 635), (2530, 3151), (2573, 3149), (2635, 636)], [(2675, 636), (2613, 3149), (2988, 3145), (3086, 647)], [(3126, 647), (3028, 3145), (3081, 3144), (3161, 706)], [(3202, 649), (3121, 3144), (3160, 3144), (3263, 652)], [(3303, 652), (3200, 3144), (3246, 3144), (3342, 655)], [(3382, 655), (3286, 3144), (3307, 3144), (3424, 658)], [(3464, 658), (3347, 3144), (3372, 3151), (3485, 660)], [(3525, 660), (3412, 3151), (3437, 3151), (3547, 662)], [(3587, 662), (3477, 3151), (3494, 3151), (3597, 719)], [(3638, 664), (3534, 3151), (3567, 3151), (3670, 666)], [(3710, 666), (3607, 3151), (3627, 3151), (3735, 668)], [(3775, 668), (3667, 3151), (3697, 3151), (3795, 670)], [(3835, 670), (3737, 3151), (3746, 3152), (3858, 672)], [(3898, 672), (3786, 3152), (3815, 3153), (3898, 674)], [(3938, 674), (3855, 3153), (3867, 3154), (3960, 676)], [(4000, 676), (3907, 3154), (3937, 3155), (4029, 679)], [(4069, 679), (3977, 3155), (4000, 3156), (4090, 681)], [(4130, 681), (4040, 3156), (4064, 3157), (4151, 683)], [(4191, 683), (4104, 3157), (4124, 3158), (4218, 685)], [(4258, 685), (4164, 3158), (4177, 3159), (4286, 688)], [(4326, 688), (4217, 3159), (4228, 3160), (4351, 690)], [(4391, 690), (4268, 3160), (4280, 3161), (4402, 692)], [(4442, 692), (4320, 3161), (4355, 3162), (4462, 694)], [(4502, 694), (4395, 3162), (4417, 3163), (4527, 697)], [(4567, 697), (4457, 3163), (4465, 3164), (4587, 699)], [(4627, 699), (4505, 3164), (4558, 3165), (4646, 753)], [(4681, 1000), (4598, 3165), (4640, 3166), (4728, 1003)], [(4768, 1003), (4680, 3166), (4716, 3167), (4811, 1006)]]]"
./ICDAR/ICDAR2019_cTDaR/training/TRACKB1/ground_truth\cTDaR_t00002.jpg,./ICDAR/ICDAR_Processed\table_mask\cTDaR_t00002.jpg,./ICDAR/ICDAR_Processed\col_mask\cTDaR_t00002.jpg,3584,4912,1,2,2,"[[(149, 521), (2425, 639), (2317, 3117), (163, 3117)], [(2454, 480), (4660, 539), (4576, 3117), (2513, 3117)]]","[[[(162, 526), (138, 1173), (48, 3065), (182, 527)], [(222, 527), (174, 3066), (558, 3071), (651, 600)], [(677, 849), (598, 3071), (629, 3072), (713, 853)], [(760, 546), (669, 3072), (710, 3074), (822, 550)], [(862, 550), (750, 3074), (793, 3076), (899, 553)], [(939, 553), (833, 3076), (880, 3078), (974, 556)], [(1014, 556), (920, 3078), (931, 3079), (1024, 558)], [(1064, 558), (971, 3079), (992, 3080), (1107, 561)], [(1147, 561), (1032, 3080), (1052, 3081), (1153, 620)], [(1196, 563), (1092, 3081), (1128, 3083), (1229, 566)], [(1269, 566), (1168, 3083), (1188, 3084), (1289, 569)], [(1329, 569), (1228, 3084), (1246, 3085), (1348, 572)], [(1388, 572), (1286, 3085), (1307, 3087), (1419, 575)], [(1459, 575), (1347, 3087), (1365, 3089), (1481, 578)], [(1521, 578), (1405, 3089), (1436, 3091), (1543, 581)], [(1583, 581), (1476, 3091), (1489, 3092), (1605, 584)], [(1645, 584), (1529, 3092), (1562, 3094), (1667, 587)], [(1707, 587), (1602, 3094), (1629, 3096), (1730, 590)], [(1770, 590), (1669, 3096), (1694, 3098), (1797, 593)], [(1837, 593), (1734, 3098), (1751, 3100), (1853, 596)], [(1893, 596), (1791, 3100), (1809, 3102), (1925, 599)], [(1965, 599), (1849, 3102), (1874, 3104), (1978, 602)], [(2018, 602), (1914, 3104), (1928, 3106), (2041, 605)], [(2081, 605), (1968, 3106), (1999, 3108), (2101, 608)], [(2141, 608), (2039, 3108), (2064, 3110), (2166, 611)], [(2206, 611), (2104, 3110), (2125, 3112), (2230, 671)], [(2271, 614), (2165, 3112), (2222, 3115), (2327, 618)], [(2367, 618), (2262, 3115), (2297, 3117), (2401, 680)]], [[(2475, 477), (2413, 3106), (2470, 3106), (2523, 478)], [(2563, 478), (2510, 3106), (2825, 3106), (2875, 559)], [(2914, 705), (2865, 3106), (2922, 3106), (2971, 707)], [(3013, 487), (2962, 3106), (3022, 3106), (3075, 490)], [(3115, 490), (3062, 3106), (3115, 3106), (3168, 492)], [(3208, 492), (3155, 3106), (3212, 3106), (3264, 495)], [(3304, 495), (3252, 3106), (3283, 3106), (3336, 572)], [(3377, 497), (3323, 3106), (3367, 3106), (3425, 499)], [(3465, 499), (3407, 3106), (3438, 3106), (3496, 501)], [(3536, 501), (3478, 3106), (3507, 3106), (3582, 503)], [(3622, 503), (3547, 3106), (3587, 3106), (3650, 505)], [(3690, 505), (3627, 3106), (3662, 3106), (3730, 507)], [(3770, 507), (3702, 3106), (3726, 3106), (3792, 509)], [(3832, 509), (3766, 3106), (3787, 3106), (3850, 511)], [(3890, 511), (3827, 3106), (3842, 3107), (3914, 513)], [(3954, 513), (3882, 3107), (3903, 3108), (3976, 515)], [(4016, 515), (3943, 3108), (3966, 3109), (4042, 517)], [(4082, 517), (4006, 3109), (4023, 3110), (4095, 519)], [(4135, 519), (4063, 3110), (4084, 3111), (4156, 521)], [(4196, 521), (4124, 3111), (4142, 3112), (4222, 523)], [(4262, 523), (4182, 3112), (4200, 3113), (4277, 525)], [(4317, 525), (4240, 3113), (4232, 3114), (4321, 527)], [(4361, 527), (4272, 3114), (4300, 3115), (4376, 529)], [(4416, 529), (4340, 3115), (4368, 3116), (4439, 607)], [(4479, 531), (4408, 3116), (4556, 3117), (4640, 537)]]]"
./ICDAR/ICDAR2019_cTDaR/training/TRACKB1/ground_truth\cTDaR_t00003.jpg,./ICDAR/ICDAR_Processed\table_mask\cTDaR_t00003.jpg,./ICDAR/ICDAR_Processed\col_mask\cTDaR_t00003.jpg,3584,4912,1,2,2,"[[(296, 237), (2461, 473), (2209, 3015), (346, 3015)], [(2496, 485), (4635, 520), (4588, 3084), (2448, 3084)]]","[[[(323, 228), (33, 2780), (97, 2792), (363, 236)], [(403, 236), (137, 2792), (453, 2833), (723, 350)], [(748, 493), (493, 2833), (549, 2844), (802, 503)], [(868, 285), (589, 2844), (644, 2855), (925, 296)], [(965, 296), (684, 2855), (731, 2866), (1018, 306)], [(1058, 306), (771, 2866), (826, 2878), (1107, 316)], [(1147, 316), (866, 2878), (897, 2887), (1169, 400)], [(1217, 324), (937, 2887), (976, 2897), (1262, 334)], [(1302, 334), (1016, 2897), (1047, 2906), (1341, 343)], [(1381, 343), (1087, 2906), (1116, 2915), (1421, 352)], [(1461, 352), (1156, 2915), (1202, 2926), (1493, 360)], [(1533, 360), (1242, 2926), (1276, 2935), (1570, 369)], [(1610, 369), (1316, 2935), (1338, 2943), (1636, 377)], [(1676, 377), (1378, 2943), (1396, 2950), (1696, 384)], [(1736, 384), (1436, 2950), (1454, 2957), (1755, 391)], [(1795, 391), (1494, 2957), (1522, 2966), (1809, 397)], [(1849, 397), (1562, 2966), (1578, 2973), (1875, 405)], [(1915, 405), (1618, 2973), (1635, 2980), (1937, 412)], [(1977, 412), (1675, 2980), (1696, 2988), (2002, 420)], [(2042, 420), (1736, 2988), (1756, 2996), (2065, 427)], [(2105, 427), (1796, 2996), (1811, 3003), (2123, 434)], [(2163, 434), (1851, 3003), (1872, 3011), (2180, 441)], [(2220, 441), (1912, 3011), (1923, 3018), (2230, 447)], [(2270, 447), (1963, 3018), (1992, 3027), (2286, 531)], [(2334, 455), (2032, 3027), (2186, 3052), (2462, 474)]], [[(2476, 484), (2429, 3074), (2494, 3074), (2524, 484)], [(2564, 484), (2534, 3074), (2849, 3074), (2884, 570)], [(2922, 700), (2889, 3074), (2939, 3074), (2981, 701)], [(3021, 489), (2979, 3074), (3037, 3074), (3072, 490)], [(3112, 490), (3077, 3074), (3130, 3074), (3168, 492)], [(3208, 492), (3170, 3074), (3223, 3074), (3256, 493)], [(3296, 493), (3263, 3074), (3298, 3074), (3339, 576)], [(3379, 494), (3338, 3074), (3375, 3074), (3418, 495)], [(3458, 495), (3415, 3074), (3445, 3074), (3490, 496)], [(3530, 496), (3485, 3074), (3518, 3074), (3575, 498)], [(3615, 498), (3558, 3074), (3600, 3074), (3655, 500)], [(3695, 500), (3640, 3074), (3667, 3074), (3732, 502)], [(3772, 502), (3707, 3074), (3736, 3074), (3794, 503)], [(3834, 503), (3776, 3074), (3796, 3074), (3853, 504)], [(3893, 504), (3836, 3074), (3853, 3074), (3907, 505)], [(3947, 505), (3893, 3074), (3915, 3074), (3979, 507)], [(4019, 507), (3955, 3074), (3975, 3074), (4037, 508)], [(4077, 508), (4015, 3074), (4034, 3074), (4092, 509)], [(4132, 509), (4074, 3074), (4100, 3074), (4155, 510)], [(4195, 510), (4140, 3074), (4157, 3074), (4215, 511)], [(4255, 511), (4197, 3074), (4206, 3074), (4274, 512)], [(4314, 512), (4246, 3074), (4263, 3074), (4332, 513)], [(4372, 513), (4303, 3074), (4322, 3074), (4392, 514)], [(4432, 514), (4362, 3074), (4385, 3074), (4445, 596)], [(4487, 515), (4425, 3074), (4581, 3074), (4643, 519)]]]"
./ICDAR/ICDAR2019_cTDaR/training/TRACKB1/ground_truth\cTDaR_t00004.jpg,./ICDAR/ICDAR_Processed\table_mask\cTDaR_t00004.jpg,./ICDAR/ICDAR_Processed\col_mask\cTDaR_t00004.jpg,3584,4912,1,2,2,"[[(169, 374), (2278, 462), (2265, 3022), (180, 3022)], [(2458, 210), (3832, 248), (3832, 2538), (2461, 2538)]]","[[[(183, 385), (85, 3064), (145, 3064), (231, 387)], [(271, 387), (185, 3064), (493, 3068), (588, 474)], [(627, 614), (533, 3068), (591, 3069), (678, 617)], [(723, 400), (631, 3069), (687, 3070), (772, 403)], [(812, 403), (727, 3070), (780, 3072), (854, 406)], [(894, 406), (820, 3072), (865, 3074), (962, 410)], [(1002, 410), (905, 3074), (939, 3075), (1029, 490)], [(1072, 413), (979, 3075), (1019, 3077), (1114, 416)], [(1154, 416), (1059, 3077), (1089, 3078), (1185, 419)], [(1225, 419), (1129, 3078), (1163, 3079), (1269, 422)], [(1309, 422), (1203, 3079), (1241, 3081), (1360, 425)], [(1400, 425), (1281, 3081), (1317, 3083), (1436, 428)], [(1476, 428), (1357, 3083), (1383, 3084), (1495, 430)], [(1535, 430), (1423, 3084), (1443, 3085), (1547, 432)], [(1587, 432), (1483, 3085), (1507, 3086), (1605, 434)], [(1645, 434), (1547, 3086), (1564, 3087), (1671, 437)], [(1711, 437), (1604, 3087), (1623, 3088), (1736, 440)], [(1776, 440), (1663, 3088), (1681, 3089), (1794, 442)], [(1834, 442), (1721, 3089), (1742, 3090), (1855, 445)], [(1895, 445), (1782, 3090), (1801, 3091), (1921, 448)], [(1961, 448), (1841, 3091), (1859, 3092), (1980, 451)], [(2020, 451), (1899, 3092), (1911, 3093), (2030, 453)], [(2070, 453), (1951, 3093), (1966, 3094), (2085, 455)], [(2125, 455), (2006, 3094), (2033, 3096), (2144, 538)], [(2184, 458), (2073, 3096), (2235, 3100), (2343, 466)]], [[(2468, 595), (2425, 2519), (2490, 2519), (2534, 596)], [(2574, 596), (2530, 2519), (2686, 2521), (2692, 598)], [(2733, 219), (2726, 2521), (2748, 2522), (2751, 221)], [(2791, 221), (2788, 2522), (2810, 2523), (2818, 288)], [(2856, 222), (2850, 2523), (2988, 2526), (2998, 228)], [(3038, 228), (3028, 2526), (3382, 2532), (3400, 238)], [(3440, 238), (3422, 2532), (3812, 2538), (3817, 307)]]]"
./ICDAR/ICDAR2019_cTDaR/training/TRACKB1/ground_truth\cTDaR_t00005.jpg,./ICDAR/ICDAR_Processed\table_mask\cTDaR_t00005.jpg,./ICDAR/ICDAR_Processed\col_mask\cTDaR_t00005.jpg,3584,4912,1,1,1,"[[(916, 501), (4494, 580), (4452, 3261), (919, 3261)]]","[[[(931, 501), (855, 3179), (944, 3181), (1023, 503)], [(1063, 503), (984, 3181), (1483, 3193), (1561, 515)], [(1601, 515), (1523, 3193), (1660, 3197), (1737, 519)], [(1777, 519), (1700, 3197), (1933, 3203), (2003, 525)], [(2043, 525), (1973, 3203), (2439, 3214), (2507, 536)], [(2547, 536), (2479, 3214), (2623, 3218), (2676, 540)], [(2716, 540), (2663, 3218), (2886, 3224), (2928, 546)], [(2968, 546), (2926, 3224), (3426, 3236), (3470, 558)], [(3510, 558), (3466, 3236), (3608, 3241), (3651, 562)], [(3691, 562), (3648, 3241), (3877, 3248), (3923, 569)], [(3963, 569), (3917, 3248), (4432, 3261), (4473, 582)]]]"
./ICDAR/ICDAR2019_cTDaR/training/TRACKB1/ground_truth\cTDaR_t00006.jpg,./ICDAR/ICDAR_Processed\table_mask\cTDaR_t00006.jpg,./ICDAR/ICDAR_Processed\col_mask\cTDaR_t00006.jpg,3584,4912,1,1,1,"[[(772, 370), (4308, 505), (4276, 3206), (780, 3206)]]","[[[(787, 370), (664, 3062), (773, 3067), (884, 375)], [(924, 375), (813, 3067), (1305, 3087), (1418, 395)], [(1458, 395), (1345, 3087), (1492, 3094), (1600, 402)], [(1640, 402), (1532, 3094), (1763, 3104), (1864, 412)], [(1904, 412), (1803, 3104), (2269, 3124), (2368, 431)], [(2408, 431), (2309, 3124), (2460, 3132), (2549, 438)], [(2589, 438), (2500, 3132), (2723, 3143), (2814, 448)], [(2854, 448), (2763, 3143), (3245, 3164), (3334, 468)], [(3374, 468), (3285, 3164), (3435, 3172), (3516, 475)], [(3556, 475), (3475, 3172), (3698, 3183), (3781, 486)], [(3821, 486), (3738, 3183), (4256, 3206), (4329, 507)]]]"
./ICDAR/ICDAR2019_cTDaR/training/TRACKB1/ground_truth\cTDaR_t00007.jpg,./ICDAR/ICDAR_Processed\table_mask\cTDaR_t00007.jpg,./ICDAR/ICDAR_Processed\col_mask\cTDaR_t00007.jpg,3584,4912,1,1,1,"[[(748, 467), (4379, 519), (4389, 3174), (748, 3174)]]","[[[(762, 469), (708, 3149), (802, 3149), (870, 470)], [(910, 470), (842, 3149), (1339, 3152), (1391, 476)], [(1431, 476), (1379, 3152), (1522, 3153), (1571, 478)], [(1611, 478), (1562, 3153), (1788, 3155), (1831, 482)], [(1871, 482), (1828, 3155), (2308, 3159), (2344, 488)], [(2384, 488), (2348, 3159), (2496, 3161), (2515, 490)], [(2555, 490), (2536, 3161), (2764, 3163), (2775, 494)], [(2815, 494), (2804, 3163), (3298, 3167), (3308, 501)], [(3348, 501), (3338, 3167), (3495, 3169), (3493, 504)], [(3533, 504), (3535, 3169), (3761, 3171), (3758, 508)], [(3798, 508), (3801, 3171), (4315, 3175), (4307, 516)]]]"
./ICDAR/ICDAR2019_cTDaR/training/TRACKB1/ground_truth\cTDaR_t00008.jpg,./ICDAR/ICDAR_Processed\table_mask\cTDaR_t00008.jpg,./ICDAR/ICDAR_Processed\col_mask\cTDaR_t00008.jpg,3584,4912,1,1,1,"[[(734, 493), (4314, 572), (4298, 3202), (736, 3202)]]","[[[(747, 487), (663, 3151), (754, 3152), (844, 490)], [(884, 490), (794, 3152), (1299, 3158), (1379, 502)], [(1419, 502), (1339, 3158), (1486, 3161), (1552, 506)], [(1592, 506), (1526, 3161), (1751, 3165), (1814, 513)], [(1854, 513), (1791, 3165), (2264, 3172), (2322, 525)], [(2362, 525), (2304, 3172), (2450, 3175), (2499, 530)], [(2539, 530), (2490, 3175), (2715, 3179), (2761, 537)], [(2801, 537), (2755, 3179), (3252, 3187), (3293, 550)], [(3333, 550), (3292, 3187), (3438, 3190), (3472, 555)], [(3512, 555), (3478, 3190), (3710, 3194), (3733, 562)], [(3773, 562), (3750, 3194), (4278, 3202), (4290, 576)]]]"
./ICDAR/ICDAR2019_cTDaR/training/TRACKB1/ground_truth\cTDaR_t00009.jpg,./ICDAR/ICDAR_Processed\table_mask\cTDaR_t00009.jpg,./ICDAR/ICDAR_Processed\col_mask\cTDaR_t00009.jpg,3584,4912,1,1,1,"[[(729, 503), (4307, 435), (4352, 3048), (726, 3048)]]","[[[(726, 499), (737, 3147), (828, 3142), (820, 496)], [(860, 496), (868, 3142), (1354, 3127), (1340, 486)], [(1380, 486), (1394, 3127), (1546, 3122), (1512, 483)], [(1552, 483), (1586, 3122), (1805, 3115), (1775, 479)], [(1815, 479), (1845, 3115), (2312, 3101), (2286, 470)], [(2326, 470), (2352, 3101), (2508, 3096), (2464, 467)], [(2504, 467), (2548, 3096), (2774, 3089), (2719, 463)], [(2759, 463), (2814, 3089), (3308, 3075), (3248, 454)], [(3288, 454), (3348, 3075), (3497, 3070), (3431, 451)], [(3471, 451), (3537, 3070), (3771, 3063), (3700, 447)], [(3740, 447), (3811, 3063), (4332, 3048), (4246, 438)]]]"
